# Chunk-averaged data for fix bin1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx vy vz c_peratom[1] c_peratom[2] c_peratom[3] temp
0 92 43672908
  60 1210.85 474350 0.00116317 -0.000466562 0.00176581 -1043.7 -1112.38 -2022.92 299.529
  61 1231.18 488810 -0.00157582 -0.000272494 0.00349255 -755.428 -438.818 -2090.84 300.06
  62 1251.5 470440 0.00303203 0.00113023 0.000619243 -590.343 -1519.57 -2312.32 300.114
  63 1271.83 470514 -0.00181755 -0.00243727 -0.00368294 298.914 628.597 971.028 300.486
  64 1292.15 490723 -0.000489287 0.000293964 0.000432286 124.886 443.608 929.035 299.975
  65 1312.48 472363 0.000567087 0.00054065 -0.00394221 -440.823 316.271 -10.0852 299.666
  66 1332.8 470400 0.00207707 -0.000983307 0.00279368 745.638 866.638 1608.27 300.543
  67 1353.13 478889 0.00127108 0.00180448 0.000917474 85.5481 555.406 1127.23 300.493
  68 1373.45 484305 -0.00303497 0.000593405 -0.00168934 -1432.16 -902.527 -3100.75 300.581
  69 1393.78 470406 -0.000342493 -0.000599715 -0.000816196 -35.4821 217.898 -474.56 300.417
  70 1414.1 471028 0.00282922 -0.000278235 -9.47082e-05 -1305.56 -1535.96 -2705.89 299.949
  71 1434.43 491678 -0.00114637 -0.000299162 0.000349367 -1504.87 -1008.81 -2975.55 300.171
  72 1454.75 470894 -0.00355819 0.000820192 0.00498353 -1349.71 -1421.56 -2993.05 300
  73 1475.08 470410 -0.000425614 -0.00377608 -0.000227504 1017.35 650.212 1737.72 300.174
  74 1495.4 484955 -0.00108433 0.000956776 0.000550619 -1520.48 -1156.36 -3120.72 300.193
  75 1515.73 478235 -0.00312926 -0.00115083 -0.00199552 174.259 296.05 168.126 300.651
  76 1536.05 470400 -0.00348772 0.000381003 -0.0021129 248.831 82.5943 -424.899 299.883
  77 1556.38 472744 -0.000715893 -0.00105942 0.00218023 -433.931 191.719 -276.09 299.502
  78 1576.7 490368 0.000367415 0.00169774 -0.000445371 -2256.91 -2546.58 -5735.54 299.833
  79 1597.03 470488 0.00339315 0.00320388 0.00107761 964.028 978.202 2321.32 300.453
  80 1617.35 470434 0.00340852 -0.00219575 0.00168702 544.2 722.852 1497.94 300.167
  81 1637.68 489247 -0.00194235 0.000373895 0.00147652 1065.99 1055.09 2064.25 299.933
  82 1658 473919 -0.000403368 -0.000496845 0.00667363 4455.03 4827.27 9824.04 300.19
  83 1678.33 470400 -0.000156081 -0.00111603 -0.00656551 -2962.82 -3011.96 -6850.31 300.772
  84 1698.65 475592 0.00154729 -7.47867e-05 0.0122294 7317.09 6627.91 15237.4 300.588
  85 1718.98 487596 0.00170948 -0.0011421 -0.0228087 -10698.1 -10330.3 -22425.7 300.747
  86 1739.3 470412 -0.00194342 9.48709e-05 0.0110921 6744.44 6240.55 12397.8 300.438
  87 1759.63 470591 0.000836301 0.00034826 0.0125197 5329.96 5872.05 11210.9 300.809
  88 1779.95 491035 0.000392309 0.00125524 -0.0222325 3035.17 2916.58 7194.85 299.961
  89 1800.28 471974 -0.000999645 0.00215282 0.0389584 -19230.4 -20440.9 -45663.4 301.55
  90 1820.6 470403 -0.00159196 -0.000685709 -0.0240448 12965.8 12971.5 31260.9 302.814
  91 1840.93 481073 0.00107288 -0.00184151 -0.00438662 -998.936 -458.9 -2737.53 303.16
  92 1861.25 225068 0.00777792 -0.00161404 -0.00107382 231675 232354 16967.7 305.24
800 92 43672908
  1 14.994 503464 0.00179604 -0.00112965 7.47683 -2.39293e+06 -2.39147e+06 -7.50447e+06 4224.75
  2 35.319 559643 0.00226044 -0.00035819 7.11516 -4.31451e+06 -4.31542e+06 -1.17951e+07 4276.84
  3 55.644 493162 -0.00210026 -0.001578 3.00374 -1.62434e+06 -1.62444e+06 -4.77034e+06 2419.93
  4 75.969 485904 -0.00200023 0.00301139 0.00447629 -558.244 -358.564 -1745.54 300.291
  5 96.294 477283 0.00116882 -0.000887162 0.00239636 -1002.5 -802.044 -1884.32 300.142
  6 116.619 470400 -0.00218089 -0.00336455 -0.00579119 4815.68 5576.04 10969.3 299.662
  7 136.944 473048 0.000970457 0.00332756 -0.00118307 1391.47 1139.21 2304.55 300.843
  8 157.269 490099 8.26799e-06 0.00147379 0.0191114 -10428.7 -10023.9 -22022.1 300.912
  9 177.594 470453 0.00212201 -0.00222716 -0.0126425 7904.55 7722.06 16288.2 300.442
  10 197.919 470480 -0.0011367 -0.000850452 0.0111802 -5886.52 -5751.99 -13353.3 300.146
  11 218.244 489716 0.00206231 0.000506712 -0.00828948 4406.37 4305.78 9911.36 300.596
  12 238.569 473404 0.00185084 -0.00293144 -0.00137414 1960.47 2403.03 4101.29 299.968
  13 258.894 470400 0.00313647 -0.000638019 -0.000135651 -1138.05 -1927.66 -3211.15 300.383
  14 279.219 476903 -0.00213025 0.000491108 -0.00110465 2467.42 1152.2 3796.5 300.065
  15 299.544 486290 -0.00193079 -0.00142394 -0.00039603 1385.21 1304.06 2438.46 299.98
  16 319.869 470407 -0.000454125 0.00055688 -0.00130365 -838.665 608.641 -289.905 300.018
  17 340.194 470692 -0.000320549 -0.00180192 -0.00296784 393.747 -128.567 73.0241 299.843
  18 360.519 491515 -0.00139338 0.000506106 -5.51022e-05 -808.519 -1191.4 -2546.01 300.141
  19 380.844 471393 0.00100351 -0.00219298 0.00103506 -651.196 -109.45 -674.145 300.531
  20 401.169 470401 0.000339142 0.00102171 -0.000655271 -468.585 37.8939 -671.061 300.105
  21 421.494 482398 -0.000409038 0.00105906 0.00243732 -831.086 -581.239 -1584.71 300.56
  22 441.819 480801 -0.00174383 0.00080761 0.000245813 160.072 1177.05 1436 300.084
  23 462.144 470400 0.00264876 -0.00097377 -0.000762312 1785.95 1114.31 2552.82 300.29
  24 482.469 471588 0.00207285 0.00178173 -0.0034559 843.705 306.022 1270.58 300.023
  25 502.794 491409 0.00162924 0.00046858 -0.00328615 -759.334 924.33 -266.904 299.995
  26 523.119 470603 -0.00267819 0.000204568 0.00120947 1326.78 1671.48 3134.92 299.989
  27 543.444 470408 0.00425182 0.0033507 -0.00275882 310.671 -117.133 425.699 300.362
  28 563.769 486953 -8.4343e-05 0.00076357 0.000221141 646.985 1220.2 1584.74 299.781
  29 584.094 476239 0.000172011 0.000949714 -9.40819e-05 937.434 881.999 2043.69 299.678
  30 604.419 470400 -0.00079573 -0.000679084 -4.51376e-05 1076.23 927.75 1321.76 299.826
  31 624.744 473855 0.0022106 0.00173869 0.0013492 708.735 79.9026 1014.55 299.847
  32 645.069 489316 0.00316389 0.00177396 -0.0020801 -180.525 -37.3067 -563.131 299.218
  33 665.394 470429 5.76138e-05 -0.0011315 0.00106365 -305.479 -346.122 -949.306 300.061
  34 685.719 470488 -0.00166405 0.00352926 0.00410633 1414.99 763.175 2639.74 299.536
  35 706.044 490297 -0.0012843 -0.00554642 0.00105352 458.436 644.691 421.839 300.632
  36 726.369 472815 -0.00125516 0.0012469 -0.000562329 -1050.14 -117.338 -1187.45 300.548
  37 746.694 470401 -2.30847e-05 0.00182748 -0.000629992 2709.45 1597.3 3998.72 300.273
  38 767.019 477728 -0.00214255 0.00280917 0.000627087 1079.57 887.341 2436.93 300.493
  39 787.344 485466 -0.000949776 0.00361026 0.00190467 560.052 1201.31 1511.03 299.885
  40 807.669 470262 -0.00148471 -0.001332 0.000427116 -780.899 -563.652 -2327.04 300.178
  41 827.994 468488 -0.000129204 0.00129524 -0.00291541 1701.31 2762.63 1444.85 299.993
  42 848.319 488246 0.000400377 0.000181644 -0.000236511 2090.69 2873.08 1080.54 299.652
  43 868.644 469917 2.53141e-05 0.00086355 0.000236098 58.9761 432.695 -1915.25 300.444
  44 888.969 470401 0.00221298 -0.00118119 -0.00128658 1264.16 981.223 2457.4 299.745
  45 909.294 483605 0.00127144 -0.00167223 -0.000228742 -1128.67 -1641.34 -2557.43 301.444
  46 929.619 479594 -0.00222029 0.0014364 0.000706187 -870.298 -546.482 -1665.17 300.411
  47 949.944 470400 0.000663938 0.00206359 -0.00153947 1307.48 -675.747 373.769 299.854
  48 970.269 472140 -0.00180489 -0.000238592 -0.00148295 622.005 559.393 1423.13 300.134
  49 990.594 490919 0.000531727 0.00298991 -0.00383215 278.378 456.674 659.838 300.423
  50 1010.92 470541 0.000650322 -0.00020402 -0.000368235 324.148 -204.922 264.666 299.936
  51 1031.24 470423 -0.000587267 -0.000292566 -0.000290259 110.147 -671.944 -772.878 299.568
  52 1051.57 488325 0.00123994 0.000195145 -0.00256362 238.116 56.3986 -128.192 300.729
  53 1071.89 474852 0.00221521 -0.00166323 -0.00109676 375.321 -351.364 690.403 300.286
  54 1092.22 470400 -0.000205482 -0.00113345 -0.000110103 525.315 -428.71 495.294 300.213
  55 1112.54 475093 -0.000806874 -0.00220027 -0.00143401 33.3988 730.432 754.917 299.641
  56 1132.87 488082 -0.000424347 -0.00255501 -0.000871812 -684.167 -1204.44 -2560.17 299.945
  57 1153.19 470425 -0.00294398 0.000208361 0.00155621 486.256 501.366 1671.72 299.817
  58 1173.52 470590 -0.00117517 -0.00264723 0.000808584 -832.876 -778.889 -1736.87 300.659
  59 1193.84 491043 -0.00183866 0.000432165 -0.00051452 487.272 918.149 1175.96 299.556
  60 1214.17 471967 0.00256783 -0.00106253 0.00415772 -610.848 -857.064 -1763.28 300.161
  61 1234.49 470401 0.00144663 0.00171152 0.00045699 -442.166 -1405.04 -2545.78 298.979
  62 1254.82 480363 -0.00143026 -0.00297264 0.00164803 -2173.69 -2382.4 -4672.45 300.038
  63 1275.14 482832 -0.000597652 -0.000353028 0.000185396 589.601 141.037 792.261 300.077
  64 1295.47 470404 0.000808419 0.00306223 -0.0034851 -683.678 -266.367 -832.52 300.588
  65 1315.79 471241 -0.00116777 -0.00123854 0.000846652 1338.91 2117.74 3621.97 300.462
  66 1336.12 491549 0.00207787 -0.00169995 0.00037368 753.483 742.76 1201.26 300.254
  67 1356.44 470810 0.000228064 0.00378283 -0.00165913 -1450.12 -664.588 -2608.2 300.345
  68 1376.77 470411 -0.00146591 -0.000516169 -0.00111565 -620.793 115.016 -840.72 300.274
  69 1397.09 485769 -9.93444e-05 -0.00013762 -0.000684368 -545.427 -502.321 -1603.48 299.939
  70 1417.42 477420 0.00235523 -0.000705203 -0.00146936 -486.402 -392.727 -711.878 299.721
  71 1437.74 470400 -0.00248802 -0.00020291 0.0033371 -25.178 364.883 -156.086 299.824
  72 1458.07 473159 -0.000917271 -0.00165479 0.00296089 -582.649 -1325.69 -2378.98 299.088
  73 1478.39 489984 -0.00260477 -0.00135552 0.00179801 -1711.92 -1719 -4636.5 300.33
  74 1498.72 470457 -0.00255595 0.000933999 -0.00262655 -926.753 31.7257 -738.323 300.124
  75 1519.04 470476 2.67951e-05 -0.000698082 0.00162185 -734.166 -1052.72 -2256.75 300.451
  76 1539.37 489874 -0.003558 -0.00124588 -0.0016233 1407.11 1004.94 2379.07 299.764
  77 1559.69 473250 -0.00116432 0.000648659 -0.00302095 -938.439 -348.749 -1896.06 300.067
  78 1580.02 470400 0.000336165 0.00191328 0.00412962 -557.396 -941.082 -1932.76 299.366
  79 1600.34 477449 0.00264145 0.00113262 0.00146381 717.671 1096.43 2561.57 300.481
  80 1620.67 485739 0.001392 -0.000859581 0.00302688 121.701 803.904 697.448 300.295
  81 1640.99 470412 -0.000788371 -0.00191889 0.00627818 4598.23 4554.47 9855.29 300.574
  82 1661.32 470763 0.000572289 0.000121764 -0.00420177 -2046.35 -1621.55 -4143.98 300.709
  83 1681.64 491340 0.00165937 0.00107605 0.0124969 6556.27 5095.5 12258.9 301.12
  84 1701.97 471497 -0.000173977 -0.00164637 -0.0152086 -6844.58 -6686.7 -14277.2 300.454
  85 1722.29 470404 0.00159296 -0.000608638 -0.00758396 -2234.13 -2007.51 -4972.2 300.736
  86 1742.62 482069 -0.000896625 -0.000525369 0.0117439 7345.33 6658.7 14164.4 300.329
  87 1762.94 481127 0.000780333 0.00245987 -0.000370112 -298.43 725.102 702.015 300.311
  88 1783.27 470400 0.000678956 0.00116437 -0.00282853 -857.196 -1151.69 -4229.21 300.28
  89 1803.59 471180 -0.00165851 0.000936686 -0.0310367 19107 18100.3 40251.7 300.719
  90 1823.92 491735 -0.00120443 -0.000259895 0.0305073 -16644.6 -16508.7 -34972.8 303.372
  91 1844.24 470685 0.00169335 -0.00283835 0.000723779 -5359.1 -5968.5 -14833.7 303.292
  92 1864.57 146144 0.00808499 -0.000412668 -0.0143193 368863 365545 37753.2 305.982
1200 92 43672908
